Datum;Nr.;Team A;Team B;Ergebnis;
Samstag, 21.10.2023;1;VC 2010 Eltmann III (H);VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;2;VC 2010 Eltmann III (H);TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;3;VC 2010 Eltmann IV;TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;4;SV Kürnach (H);VfL Volkach II;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;5;SV Kürnach (H);TV/DJK Hammelburg III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 21.10.2023;6;VfL Volkach II;TV/DJK Hammelburg III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 28.10.2023;7;TSV Eibelstadt III (H);SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 28.10.2023;8;TSV Eibelstadt III (H);VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 28.10.2023;9;SV Kürnach;VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;10;VC 2010 Eltmann IV (H);VfL Volkach II;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;11;VC 2010 Eltmann IV (H);TV 1884 Bad Brückenau;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 18.11.2023;12;VfL Volkach II;TV 1884 Bad Brückenau;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;13;TV/DJK Hammelburg III (H);VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;14;TV/DJK Hammelburg III (H);VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;15;VC 2010 Eltmann III;VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;16;TV 1884 Bad Brückenau (H);TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;17;TV 1884 Bad Brückenau (H);SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 25.11.2023;18;TSV Eibelstadt III;SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;19;VfL Volkach II (H);TV 1884 Bad Brückenau;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;20;VfL Volkach II (H);VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 09.12.2023;21;TV 1884 Bad Brückenau;VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 16.12.2023;22;VC 2010 Eltmann IV (H);SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 16.12.2023;23;VC 2010 Eltmann IV (H);TV/DJK Hammelburg III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 16.12.2023;24;SV Kürnach;TV/DJK Hammelburg III;Infos zum Spiel;
14:00 Uhr;;;;;
Sonntag, 17.12.2023;25;TSV Eibelstadt III (H);TV/DJK Hammelburg III;Infos zum Spiel;
12:00 Uhr;;;;;
Sonntag, 17.12.2023;26;TSV Eibelstadt III (H);VfL Volkach II;Infos zum Spiel;
12:00 Uhr;;;;;
Sonntag, 17.12.2023;27;TV/DJK Hammelburg III;VfL Volkach II;Infos zum Spiel;
12:00 Uhr;;;;;
Sonntag, 14.01.2024;28;VC 2010 Eltmann III (H);TV/DJK Hammelburg III;Infos zum Spiel;
11:00 Uhr;;;;;
Sonntag, 14.01.2024;29;VC 2010 Eltmann III (H);TV 1884 Bad Brückenau;Infos zum Spiel;
11:00 Uhr;;;;;
Sonntag, 14.01.2024;30;TV/DJK Hammelburg III;TV 1884 Bad Brückenau;Infos zum Spiel;
11:00 Uhr;;;;;
Samstag, 27.01.2024;31;SV Kürnach (H);VC 2010 Eltmann III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 27.01.2024;32;SV Kürnach (H);VfL Volkach II;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 27.01.2024;33;VC 2010 Eltmann III;VfL Volkach II;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 27.01.2024;34;TV/DJK Hammelburg III (H);TV 1884 Bad Brückenau;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 27.01.2024;35;TV/DJK Hammelburg III (H);TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 27.01.2024;36;TV 1884 Bad Brückenau;TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;37;VfL Volkach II (H);TSV Eibelstadt III;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;38;VfL Volkach II (H);VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 03.02.2024;39;TSV Eibelstadt III;VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 17.02.2024;40;TV 1884 Bad Brückenau (H);VC 2010 Eltmann IV;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 17.02.2024;41;TV 1884 Bad Brückenau (H);SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
Samstag, 17.02.2024;42;VC 2010 Eltmann IV;SV Kürnach;Infos zum Spiel;
14:00 Uhr;;;;;
