Auswärts;VC 2010 Eltmann III, VC 2010 Eltmann IV, VC 2010 Eltmann III, VC 2010 Eltmann IV, SV K�rnach, SV K�rnach, TV/DJK Hammelburg III;21.10.2023;21.10.2023;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;0;24;

Auswärts;VC 2010 Eltmann IV, TV 1884 Bad Br�ckenau, TV 1884 Bad Br�ckenau;18.11.2023;18.11.2023;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;0;24;

Heimspiel;VC 2010 Eltmann III, VC 2010 Eltmann III, TV 1884 Bad Br�ckenau;09.12.2023;09.12.2023;14:00:00;;;ja;Halle;;;Spieler müssen zusagen;;0;24;

Auswärts;TSV Eibelstadt III, TV/DJK Hammelburg III;17.12.2023;17.12.2023;12:00:00;;;nein;Halle;;;Spieler müssen zusagen;;0;24;

Auswärts;SV K�rnach, VC 2010 Eltmann III, TV/DJK Hammelburg III, TV/DJK Hammelburg III, TV 1884 Bad Br�ckenau;27.01.2024;27.01.2024;14:00:00;;;nein;Halle;;;Spieler müssen zusagen;;0;24;
Heimspiel;VC 2010 Eltmann IV, VC 2010 Eltmann IV, TSV Eibelstadt III;03.02.2024;03.02.2024;14:00:00;;;ja;Halle;;;Spieler müssen zusagen;;0;24;
